show_id;type;title;director;country;release_year;rating
s1;Movie;Dick Johnson Is Dead;Kirsten Johnson;United States;2020;PG-13
s2;TV Show;Blood & Water;;South Africa;2021;R
s3;TV Show;Ganglands;Julien Leclercq;;2021;R
s4;TV Show;Jailbirds New Orleans;;;2021;R
s5;TV Show;Kota Factory;;India;2021;R
s6;TV Show;Midnight Mass;Mike Flanagan;;2021;R
s7;Movie;My Little Pony: A New Generation;Robert Cullen, José Luis Ucha;;2021;G
s8;Movie;Sankofa;Haile Gerima;United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia;1993;R
s9;TV Show;The Great British Baking Show;Andy Devonshire;United Kingdom;2021;PG-13
s10;Movie;The Starling;Theodore Melfi;United States;2021;PG-13
s11;TV Show;Vendetta: Truth, Lies and The Mafia;;;2021;R
s12;TV Show;Bangkok Breaking;Kongkiat Komesiri;;2021;R
s13;Movie;Je Suis Karl;Christian Schwochow;Germany, Czech Republic;2021;R
s14;Movie;Confessions of an Invisible Girl;Bruno Garotti;;2021;G
s15;TV Show;Crime Stories: India Detectives;;;2021;R
s16;TV Show;Dear White People;;United States;2021;R
s17;Movie;Europe's Most Dangerous Man: Otto Skorzeny in Spain;Pedro de Echave García, Pablo Azorín Williams;;2020;R
s18;TV Show;Falsa identidad;;Mexico;2020;R
s19;Movie;Intrusion;Adam Salky;;2021;PG-13
s20;TV Show;Jaguar;;;2021;R
s21;TV Show;Monsters Inside: The 24 Faces of Billy Milligan;Olivier Megaton;;2021;PG-13
s22;TV Show;Resurrection: Ertugrul;;Turkey;2018;PG-13
s23;Movie;Avvai Shanmughi;K.S. Ravikumar;;1996;G
s24;Movie;Go! Go! Cory Carson: Chrissy Takes the Wheel;Alex Woo, Stanley Moore;;2021;G
s25;Movie;Jeans;S. Shankar;India;1998;PG-13
s26;TV Show;Love on the Spectrum;;Australia;2021;PG-13
s27;Movie;Minsara Kanavu;Rajiv Menon;;1997;G
s28;Movie;Grown Ups;Dennis Dugan;United States;2010;PG-13
s29;Movie;Dark Skies;Scott Stewart;United States;2013;PG-13
s30;Movie;Paranoia;Robert Luketic;United States, India, France;2013;PG-13
s31;Movie;Ankahi Kahaniya;Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary;;2021;PG-13
s32;TV Show;Chicago Party Aunt;;;2021;R
s33;TV Show;Sex Education;;United Kingdom;2020;R
s34;TV Show;Squid Game;;;2021;R
s35;TV Show;Tayo and Little Wizards;;;2020;PG-13
s36;Movie;The Father Who Moves Mountains;Daniel Sandu;;2021;R
s37;Movie;The Stronghold;Cédric Jimenez;;2021;R
s38;TV Show;Angry Birds;;Finland;2018;PG-13
